Date,year,month,day,dayofweek,dayofyear,weekofyear,quarter,is_weekend,is_month_end,is_month_start,is_quarter_end,dom_bin,trend,sin_365d_k1,cos_365d_k1,sin_365d_k2,cos_365d_k2,sin_365d_k3,cos_365d_k3,sin_365d_k4,cos_365d_k4,sin_7d_k1,cos_7d_k1,sin_7d_k2,cos_7d_k2,sin_7d_k3,cos_7d_k3,rev_lag_365,rev_lag_364,rev_lag_728,rev_lag365_roll7,rev_lag365_roll30,log_rev_lag_365,log_monthly_avg,monthly_avg_rev,trend_multiplier,days_to_tet,pre_tet_7d,pre_tet_14d,post_tet_7d,is_fixed_holiday,is_tet_holiday,is_black_friday_month,is_1111,is_1212,sessions_lag_365,visitors_lag_365,n_active_promos,max_promo_discount,has_stackable_promo
2023-01-01,2023,1,1,6,1,52,1,1,0,1,0,0,3833,0.017213356155834685,0.9998518392091162,0.03442161162274574,0.9994074007397048,0.051619667223253764,0.998666816288476,0.06880242680231986,0.9976303053065857,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,2932155.47,2361965.0,677894.56,2575854.108571429,1802529.6866666665,14.891248706867614,14.470244086912368,1924628.590967742,1.0000346793244703,21,0,0,0,1,0,0,0,0,17601.0,13989.0,0,0.0,0
2023-01-02,2023,1,2,0,2,1,1,0,0,0,0,0,3834,0.03442161162274574,0.9994074007397048,0.06880242680231986,0.9976303053065857,0.10310169744743485,0.9946708199115211,0.13727877211326478,0.9905324521322229,0.0,1.0,0.0,1.0,0.0,1.0,2361965.0,545563.72,819877.04,2110824.4942857143,1822554.1303333333,14.675004881054978,14.470244086912368,1924628.590967742,1.0000693598515962,20,0,0,0,0,0,0,0,0,16288.0,12415.0,0,0.0,0
2023-01-03,2023,1,3,1,3,1,1,0,0,0,0,0,3835,0.051619667223253764,0.998666816288476,0.10310169744743485,0.9946708199115211,0.15430882066428117,0.9880226656636976,0.2051044998686192,0.9787400799669153,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419,545563.72,1242319.38,1174326.91,1703747.6542857143,1836128.2213333333,13.209576720664066,14.470244086912368,1924628.590967742,1.0001040415814193,19,0,0,0,0,0,0,0,0,15844.0,12119.0,0,0.0,0
2023-01-04,2023,1,4,2,4,1,1,0,0,0,0,0,3836,0.06880242680231986,0.9976303053065857,0.13727877211326478,0.9905324521322229,0.2051044998686192,0.9787400799669153,0.2719581575341055,0.9623090774541486,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,1242319.38,809977.6,1114251.05,1454284.7757142857,1846620.5410000002,14.032491463122346,14.470244086912368,1924628.590967742,1.0001387245139814,18,0,0,0,0,0,0,0,0,16220.0,11438.0,0,0.0,0
2023-01-05,2023,1,5,3,5,1,1,0,0,0,0,0,3837,0.08596479873744647,0.9962981749346078,0.1712931441814776,0.9852201067560606,0.255353295116187,0.9668478136052775,0.3375228995941133,0.9413173175128471,0.43388373911755823,-0.900968867902419,-0.7818314824680299,0.6234898018587334,0.9749279121818237,-0.2225209339563141,809977.6,993048.62,837846.02,1269940.7157142856,1858090.8456666665,13.604763106546526,14.470244086912368,1924628.590967742,1.0001734086493241,17,0,0,0,0,0,0,0,0,17043.0,13448.0,0,0.0,0
2023-01-06,2023,1,6,4,6,1,1,0,0,0,0,0,3838,0.10310169744743485,0.9946708199115211,0.2051044998686192,0.9787400799669153,0.30492122465628907,0.9523775757303974,0.401487989205973,0.9158642882672872,-0.433883739117558,-0.9009688679024191,0.7818314824680296,0.6234898018587337,-0.9749279121818235,-0.2225209339563148,993048.62,1294963.64,1023293.14,1176300.7685714285,1832490.7026666666,13.80853591156738,14.470244086912368,1924628.590967742,1.0002080939874893,16,0,0,0,0,0,0,0,0,16845.0,12989.0,0,0.0,0
2023-01-07,2023,1,7,5,7,1,1,1,0,0,0,0,3839,0.1202080448993527,0.9927487224577402,0.2386727660059501,0.9711000518829505,0.3536761221763716,0.9353679493131483,0.4635502709028509,0.886070621534138,-0.9749279121818236,-0.2225209339563146,0.43388373911755845,-0.9009688679024189,0.7818314824680284,0.6234898018587354,1294963.64,1641747.05,853729.27,1465379.2671428572,1807597.712,14.07399394772368,14.470244086912368,1924628.590967742,1.0002427805285186,15,0,0,0,0,0,0,0,0,16784.0,12436.0,0,0.0,0
2023-01-08,2023,1,8,6,8,1,1,1,0,0,0,0,3840,0.13727877211326478,0.9905324521322229,0.2719581575341055,0.9623090774541486,0.401487989205973,0.9158642882672872,0.5234156073655503,0.8520775211013093,-0.7818314824680299,0.6234898018587334,-0.9749279121818235,-0.2225209339563148,-0.43388373911755757,-0.9009688679024194,1641747.05,1706485.37,1180728.66,1522305.9771428572,1785687.0326666667,14.311272116295546,14.470244086912368,1924628.590967742,1.0002774682724536,14,0,1,0,0,0,0,0,0,16180.0,11582.0,0,0.0,0
2023-01-09,2023,1,9,0,9,2,1,0,0,0,0,0,3841,0.15430882066428117,0.9880226656636976,0.30492122465628907,0.9523775757303974,0.4482293417404106,0.893918596519257,0.5808002734538009,0.8140460935082178,0.0,1.0,0.0,1.0,0.0,1.0,1706485.37,2569113.21,1515387.6,1660241.5342857144,1796904.63,14.349947060188885,14.470244086912368,1924628.590967742,1.000312157219336,13,0,1,0,0,0,0,0,0,17607.0,13065.0,0,0.0,0
2023-01-10,2023,1,10,1,10,2,1,0,0,0,0,0,3842,0.1712931441814776,0.9852201067560606,0.3375228995941133,0.9413173175128471,0.49377555015997715,0.869589389346611,0.6354323008901774,0.7721565844991642,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.22252093395631434,0.43388373911755823,-0.900968867902419,2569113.21,1640806.35,1062807.64,1685973.5871428573,1823401.9493333332,14.759071732090993,14.470244086912368,1924628.590967742,1.0003468473692079,12,0,1,0,0,0,0,0,0,13466.0,10626.0,0,0.0,0
2023-01-11,2023,1,11,2,11,2,1,0,0,0,0,1,3843,0.1882267098432442,0.9821256058680006,0.3697245428906731,0.9291414114031743,0.5380051715382996,0.8429415373547828,0.6870527672236669,0.7266075247685656,0.9749279121818236,-0.22252093395631434,-0.433883739117558,-0.9009688679024191,-0.7818314824680299,0.6234898018587334,1640806.35,1775526.5,1070756.5,1722225.47,1861867.3106666666,14.31069896525246,14.470244086912368,1924628.590967742,1.0003815387221107,11,0,1,0,0,0,0,0,0,17468.0,14056.0,0,0.0,0
